text,label
運輸計劃季刊 第五十二卷 第二期,NOISE
生醫材料於組織工程支架之應用大未來,TITLE
顏家倫、廖俊安,AUTHOR
國立政治大學行政管理碩士學程,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
台灣高鐵公司營運處,AFFILIATION
,NOISE
社群媒體使用與青,TITLE
少年焦慮之相關性研究,TITLE
研究生：張靜怡,AUTHOR
指導教授：周偉誠 博士,ADVISOR
中華民國107年4月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
第三航廈興建工程專案管理案例分析,TITLE
胡大為、徐靜怡,AUTHOR
台灣世曦工程顧問股份有限公司,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
大 型 語 言 模 型 在 行 政 文 書 處 理 之 應 用 評 估,TITLE
紀冠廷、盧佩君,AUTHOR
財團法人工業技術研究院,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立陽明交通大學運輸與物流管理學系,AFFILIATION
地方創生政策對於偏,TITLE
鄉經濟復甦之效益,TITLE
研究生：何佳玲,AUTHOR
指導教授：唐子軒 博士,ADVISOR
中華民國108年3月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
後疫情時代的博物館數位轉型策略,TITLE
柯雅雯、曾偉誠,AUTHOR
國家發展委員會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
數位孿生技術在智慧城市之應用,TITLE
余佳穎、蔡雅琪,AUTHOR
行政院公共工程委員會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
,NOISE
軌道經濟與車站,TITLE
周邊都市再生,TITLE
,NOISE
研究生：游俊凱,AUTHOR
指導教授：方嘉佑 博士,ADVISOR
中華民國107年9月,NOISE
---END OF DOC---,NOISE
行政院公共工程委員會,AFFILIATION
委託研究報告,NOISE
日治時期台灣鐵道文化地景之變遷,TITLE
主持人：古俊傑 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
鈣鈦礦太陽能電池之效率提升策略,TITLE
董宇軒、何宗憲,AUTHOR
國立臺北大學公共行政暨政策學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
中央研究院社會學研究所,AFFILIATION
半導體製程廢水回,TITLE
收再利用技術研究,TITLE
,NOISE
研究生：高建志,AUTHOR
指導教授：楊冠廷 博士,ADVISOR
中華民國109年7月,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
委託研究報告,NOISE
我國推動2050淨零排放路徑之挑戰,TITLE
主持人：石欣儀 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
生 成 式 A I 對 高 等 教 育 之 衝 擊 與 因 應,TITLE
劉淑芬、邱凱文,AUTHOR
財團法人工業技術研究院,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
文化部文化資產局,AFFILIATION
委託研究報告,NOISE
無人機載具在交通執法之適法性探討,TITLE
主持人：石怡婷 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
以平衡計分卡建構公營事業績效評估指標,TITLE
王雅琪、陳俊傑,AUTHOR
台灣電力公司綜合研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
高雄市政府交通局,AFFILIATION
,NOISE
高鐵南延屏東經費效益評估,TITLE
,NOISE
研究生：游佩蓉,AUTHOR
指導教授：鍾嘉佑 博士,ADVISOR
中華民國111年12月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
淡江大橋施工工法與耐震設計探討,TITLE
徐志偉、侯秉宏,AUTHOR
交通部運輸研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立政治大學行政管理碩士學程,AFFILIATION
鈣鈦礦太陽能電池,TITLE
之效率提升策略,TITLE
,NOISE
研究生：周美慧,AUTHOR
指導教授：温欣儀 博士,ADVISOR
中華民國111年10月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
區塊鏈技術應用於供應鏈金融之研究,TITLE
周怡婷、蔡安琪,AUTHOR
高雄市政府交通局,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
從安全管理系統(SMS)論軌道運輸安全,TITLE
魏語彤、呂智強,AUTHOR
淡江大學運輸管理學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
鈣鈦礦太陽能電池之效率提升策略,TITLE
黃嘉薇、方欣儀,AUTHOR
台北市政府捷運工程局,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
亞新工程顧問股份有限公司,AFFILIATION
委託研究報告,NOISE
氣候變遷對台灣水資源調度之衝擊評估,TITLE
主持人：楊家倫 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
台灣鐵路管理局企劃處,AFFILIATION
都會區捷運系,TITLE
統營運模式之比較研究,TITLE
,NOISE
研究生：高大為,AUTHOR
指導教授：羅筱涵 博士,ADVISOR
中華民國105年11月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
少子化趨勢下大專院校退場機制之探討,TITLE
盧淑娟、魏雅雯,AUTHOR
國立師範大學地理學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
亞新工程顧問股份有限公司,AFFILIATION
委託研究報告,NOISE
智慧交通系統(ITS)於城市治理之應用,TITLE
主持人：施宗憲 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
中華大學行政管理學系,AFFILIATION
十二年國教核心,TITLE
素養導向教學之實踐困境,TITLE
研究生：何柏宏,AUTHOR
指導教授：江嘉薇 博士,ADVISOR
中華民國112年6月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
日 治 時 期 台 灣 鐵 道 文 化 地 景 之 變 遷,TITLE
林俊凱、卓佳玲,AUTHOR
淡江大學運輸管理學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立政治大學行政管理碩士學程,AFFILIATION
委託研究報告,NOISE
公務人員績效考核制度之檢討,TITLE
主持人：董俊宏 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
雲端原生架構下的微服務部署策略,TITLE
蔡智強、沈雅雯,AUTHOR
台灣世曦工程顧問股份有限公司,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
淡 江 大 橋 施 工 工 法 與 耐 震 設 計 探 討,TITLE
高美慧、簡佳琪,AUTHOR
國立中山大學公共事務管理研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
鈣鈦礦太陽能電池之效率提升策略,TITLE
唐建宏、侯佳琪,AUTHOR
台灣鐵路管理局企劃處,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
台北市政府捷運工程局,AFFILIATION
委託研究報告,NOISE
台灣客家聚落的空間紋理與文化保存,TITLE
主持人：郭大為 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
淡 江 大 橋 施 工 工 法 與 耐 震 設 計 探 討,TITLE
葉嘉薇、游鈺婷,AUTHOR
國立中山大學公共事務管理研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
公部門導入AI人工智慧之機會與挑戰,TITLE
王詠晴、廖美玲,AUTHOR
國立成功大學交通管理科學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
財團法人工業技術研究院,AFFILIATION
,NOISE
邊緣運算於物聯網即,TITLE
時監控系統之實作,TITLE
,NOISE
研究生：羅佳穎,AUTHOR
指導教授：詹詠晴 博士,ADVISOR
中華民國110年1月,NOISE
---END OF DOC---,NOISE
國立成功大學交通管理科學系,AFFILIATION
委託研究報告,NOISE
基於深度學習之醫療影像辨識系統開發,TITLE
主持人：邱佳玲 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
高雄市政府交通局,AFFILIATION
委託研究報告,NOISE
我國推動2050淨零排放路徑之挑戰,TITLE
主持人：賴俊凱 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
台 灣 客 家 聚 落 的 空 間 紋 理 與 文 化 保 存,TITLE
何雅琪、卓淑惠,AUTHOR
國立臺北大學公共行政暨政策學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
文化部文化資產局,AFFILIATION
委託研究報告,NOISE
台灣新電影時期的美學特徵與社會意涵,TITLE
主持人：謝冠廷 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
我國全民健康保險財務永續性之研究,TITLE
鄭俊逸、楊心怡,AUTHOR
國立中山大學公共事務管理研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
財團法人工業技術研究院,AFFILIATION
委託研究報告,NOISE
以機器學習預測股市漲跌之模型成效比較,TITLE
主持人：朱智強 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
國立台灣科技大學營建工程系,AFFILIATION
委託研究報告,NOISE
雲端原生架構下的微服務部署策略,TITLE
主持人：陳浩宇 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
行政院環境保護署,AFFILIATION
委託研究報告,NOISE
地方創生政策對於偏鄉經濟復甦之效益,TITLE
主持人：卓麗華 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
我國推動2050淨零排放路徑之挑戰,TITLE
周承恩、柯嘉薇,AUTHOR
國立中山大學公共事務管理研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
生醫材料於組織工程支架之應用大未來,TITLE
董雅婷、潘欣儀,AUTHOR
台北市政府捷運工程局,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
台灣電力公司綜合研究所,AFFILIATION
委託研究報告,NOISE
鈣鈦礦太陽能電池之效率提升策略,TITLE
主持人：彭家榮 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
我國全民健康保險財務永續性之研究,TITLE
鄧大為、余建宏,AUTHOR
台灣電力公司綜合研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立中山大學公共事務管理研究所,AFFILIATION
十二年國教核心素,TITLE
養導向教學之實踐困境,TITLE
,NOISE
研究生：羅志明,AUTHOR
指導教授：楊家儀 博士,ADVISOR
中華民國112年10月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
以機器學習預測股市漲跌之模型成效比較,TITLE
董俊凱、郭淑惠,AUTHOR
國立成功大學交通管理科學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
台灣電力公司綜合研究所,AFFILIATION
我國全民健康保險財務,TITLE
永續性之研究,TITLE
,NOISE
研究生：蘇宗翰,AUTHOR
指導教授：吳鈺婷 博士,ADVISOR
中華民國111年12月,NOISE
---END OF DOC---,NOISE
國立臺北大學公共行政暨政策學系,AFFILIATION
十二年國教核心,TITLE
素養導向教學之實踐困境,TITLE
,NOISE
研究生：高信宏,AUTHOR
指導教授：莊雅君 博士,ADVISOR
中華民國113年4月,NOISE
---END OF DOC---,NOISE
逢甲大學都市計畫與空間資訊學系,AFFILIATION
,NOISE
都市更新過程中的士紳,TITLE
化現象與居住正義,TITLE
,NOISE
研究生：徐孟儒,AUTHOR
指導教授：王雅婷 博士,ADVISOR
中華民國109年9月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
日治時期台灣鐵道文化地景之變遷,TITLE
劉俊宏、葉俊宏,AUTHOR
台灣電力公司綜合研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
氣候變遷對台灣水資源調度之衝擊評估,TITLE
温郁婷、彭志偉,AUTHOR
中央研究院社會學研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國家發展委員會,AFFILIATION
,NOISE
以平衡計分卡建構公營事業績效評估指標,TITLE
,NOISE
研究生：杜凱文,AUTHOR
指導教授：戴信宏 博士,ADVISOR
中華民國113年10月,NOISE
---END OF DOC---,NOISE
國立臺北大學公共行政暨政策學系,AFFILIATION
,NOISE
社群媒體使用與青少年焦慮之相關性研究,TITLE
,NOISE
研究生：游宏偉,AUTHOR
指導教授：孫家榮 博士,ADVISOR
中華民國111年6月,NOISE
---END OF DOC---,NOISE
台北捷運公司,AFFILIATION
生醫材料於組織工程支架之應用大未來,TITLE
,NOISE
研究生：傅佳穎,AUTHOR
指導教授：曹冠霖 博士,ADVISOR
中華民國109年2月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
行政法人化對於組織效能影響之研究,TITLE
羅佩君、翁安琪,AUTHOR
國立台灣科技大學營建工程系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立台灣科技大學營建工程系,AFFILIATION
委託研究報告,NOISE
公務人員績效考核制度之檢討,TITLE
主持人：余靜怡 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
台北市政府捷運工程局,AFFILIATION
委託研究報告,NOISE
都會區捷運系統營運模式之比較研究,TITLE
主持人：魏怡婷 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
鈣鈦礦太陽能電池之效率提升策略,TITLE
宋建志、廖家榮,AUTHOR
國立臺北大學公共行政暨政策學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立師範大學地理學系,AFFILIATION
行人地獄？探討都市人行環境改善策略,TITLE
研究生：郭安琪,AUTHOR
指導教授：鍾彥儒 博士,ADVISOR
中華民國105年9月,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
