text,label
[Image 1],NOISE
T&D飛訊第二十五期,NOISE
發行日期：94年 9月 10日,NOISE
淺析行政部門在國會的運作,TITLE
◆ 游子正,AUTHOR
（National Chengchi University）,AFFILIATION
---END---,NOISE
[Image 1],NOISE
文官制度季刊 第七卷第四期,NOISE
發行日期：96年 9月 10日,NOISE
公務機關人力資源有效運用之研究,TITLE
◆ 陳美惠,AUTHOR
（Department of Public Administration）,AFFILIATION
---END---,NOISE
‧ 國 立 政 治 大 學 ‧,NOISE
銘傳大學公共事務學系,AFFILIATION
碩士學位論文,NOISE
跨域治理與災害防救體系之研究,TITLE
A Study of Legislative Liaisons’ Training,NOISE
指導教授：施能傑 教授,ADVISOR
研究生：孫碩昱 撰,AUTHOR
中華民國 111 年 10 月,NOISE
---END---,NOISE
[Image 1],NOISE
文官制度季刊 第七卷第四期,NOISE
發行日期：107年 9月 10日,NOISE
跨域治理與災害防救體系之研究,TITLE
◆ 王光旭,AUTHOR
（National Chengchi University）,AFFILIATION
---END---,NOISE
‧ 國 立 政 治 大 學 ‧,NOISE
N a t i o n a l  C h e n g c h i  U n i v,NOISE
National Chengchi University,AFFILIATION
碩士學位論文,NOISE
臺鐵司機員人格特質與情緒智力之關聯,TITLE
Impact of Emotional Intelligence on Job Outcomes,NOISE
指導教授：董祥開 博士,ADVISOR
研究生：陳敦源 撰,AUTHOR
中華民國 105 年 7 月,NOISE
---END---,NOISE
‧ 國 立 政 治 大 學 ‧,NOISE
N a t i o n a l  C h e n g c h i  U n i v,NOISE
台灣鐵路管理局企劃處,AFFILIATION
碩士學位論文,NOISE
臺鐵司機員人格特質與情緒智力之關聯,TITLE
Public-Private Partnerships in Taiwan,NOISE
指導教授：黃東益 教授,ADVISOR
研究生：游子正 撰,AUTHOR
中華民國 92 年 6 月,NOISE
---END---,NOISE
[Image 1],NOISE
文官制度季刊 第七卷第四期,NOISE
發行日期：95年 9月 10日,NOISE
內外控傾向對公務人員創新行為之影響,TITLE
◆ 孫碩昱,AUTHOR
（國立成功大學交通管理科學系）,AFFILIATION
---END---,NOISE
‧ 國 立 政 治 大 學 ‧,NOISE
行政管理碩士學程,AFFILIATION
碩士學位論文,NOISE
公共管理者對於公私合夥風險的認知,TITLE
－以台鐵為例,TITLE
Strategic Management in Public Sector,NOISE
指導教授：鄭永祥 博士,ADVISOR
研究生：孫碩昱 撰,AUTHOR
中華民國 98 年 12 月,NOISE
---END---,NOISE
[Image 1],NOISE
文官制度季刊 第七卷第四期,NOISE
發行日期：91年 9月 10日,NOISE
臺鐵司機員人格特質與情緒智力之關聯,TITLE
◆ 商嘉禾,AUTHOR
（銘傳大學公共事務學系）,AFFILIATION
---END---,NOISE
[Image 1],NOISE
文官制度季刊 第七卷第四期,NOISE
