text,label
運輸計劃季刊 第五十二卷 第二期,NOISE
公 部 門 導 入 A I 人 工 智 慧 之 機 會 與 挑 戰,TITLE
楊欣怡、劉彥儒,AUTHOR
中華民國運輸學會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
台鐵公司化之組織變革與人力資源策略研究,TITLE
楊彥儒、蔡俊宏,AUTHOR
國立台灣大學土木工程學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
交通部運輸研究所,AFFILIATION
台鐵公司化之組,TITLE
織變革與人力資源策略研究,TITLE
,NOISE
研究生：王俊宏,AUTHOR
指導教授：蔡宗翰 博士,ADVISOR
中華民國107年9月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
新公共管理視角下的政府再造工程,TITLE
劉怡君、林怡君,AUTHOR
國立成功大學交通管理科學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
委託研究報告,NOISE
我國公共運輸導向發展(TOD)政策評估之研究,TITLE
主持人：李怡君 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
以平衡計分卡建構公營事業績效評估指標,TITLE
林欣怡、林彥儒,AUTHOR
行政院公共工程委員會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
台鐵公司化之組織變革與人力資源策略研究,TITLE
李宗翰、黃冠宇,AUTHOR
中華民國運輸學會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
,NOISE
行政法人化對於組織效能影響之研究,TITLE
,NOISE
研究生：李雅婷,AUTHOR
指導教授：林雅婷 博士,ADVISOR
中華民國105年6月,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
新公共管理,TITLE
視角下的政府再造工程,TITLE
,NOISE
研究生：張彥儒,AUTHOR
指導教授：劉怡君 博士,ADVISOR
中華民國110年2月,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
委託研究報告,NOISE
新公共管理視角下的政府再造工程,TITLE
主持人：王承恩 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
委託研究報告,NOISE
花東地區鐵路雙軌電氣化計畫效益分析,TITLE
主持人：王俊宏 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
國有土地活化與資產開發模式探討,TITLE
蔡承恩、楊欣怡,AUTHOR
國立成功大學交通管理科學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立政治大學行政管理碩士學程,AFFILIATION
花東地區鐵路雙軌電氣化計畫效益分析,TITLE
,NOISE
研究生：蔡欣怡,AUTHOR
指導教授：陳志豪 博士,ADVISOR
中華民國106年10月,NOISE
---END OF DOC---,NOISE
交通部運輸研究所,AFFILIATION
,NOISE
以平衡計分卡建構公營事,TITLE
業績效評估指標,TITLE
,NOISE
研究生：蔡欣怡,AUTHOR
指導教授：黃欣怡 博士,ADVISOR
中華民國108年8月,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
委託研究報告,NOISE
國有土地活化與資產開發模式探討,TITLE
主持人：黃彥儒 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
我 國 公 共 運 輸 導 向 發 展 ( T O D ) 政 策 評 估 之 研 究,TITLE
張志豪、王雅婷,AUTHOR
台灣鐵路管理局企劃處,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
行政院公共工程委員會,AFFILIATION
委託研究報告,NOISE
我國公共運輸導向發展(TOD)政策評估之研究,TITLE
主持人：楊承恩 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
台灣鐵路管理局企劃處,AFFILIATION
委託研究報告,NOISE
國有土地活化與資產開發模式探討,TITLE
主持人：劉承恩 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
台北大學公共行政暨政策學系,AFFILIATION
,NOISE
從安全管理系統(SMS,TITLE
)論軌道運輸安全,TITLE
,NOISE
研究生：王宗翰,AUTHOR
指導教授：張雅雯 博士,ADVISOR
中華民國110年5月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
國 有 土 地 活 化 與 資 產 開 發 模 式 探 討,TITLE
劉怡君、吳雅婷,AUTHOR
台灣鐵路管理局企劃處,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
台灣鐵路管理局企劃處,AFFILIATION
委託研究報告,NOISE
行政法人化對於組織效能影響之研究,TITLE
主持人：黃承恩 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
我國公共運輸導向發展(TOD)政策評估之研究,TITLE
陳彥儒、林志豪,AUTHOR
國立政治大學行政管理碩士學程,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
委託研究報告,NOISE
從安全管理系統(SMS)論軌道運輸安全,TITLE
主持人：王雅婷 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
台灣鐵路管理局企劃處,AFFILIATION
公部門導入AI人工智,TITLE
慧之機會與挑戰,TITLE
,NOISE
研究生：陳彥儒,AUTHOR
指導教授：王彥儒 博士,ADVISOR
中華民國106年11月,NOISE
---END OF DOC---,NOISE
ISSN: 1017-XXXX,NOISE
公部門導入AI人工智慧之機會與挑戰,TITLE
李承恩、劉欣怡,AUTHOR
交通部運輸研究所,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
委託研究報告,NOISE
新公共管理視角下的政府再造工程,TITLE
主持人：林欣怡 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
從安全管理系統(SMS)論軌道運輸安全,TITLE
王怡君、李雅雯,AUTHOR
國立台灣大學土木工程學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
行政院公共工程委員會,AFFILIATION
台鐵公司化之組織變革,TITLE
與人力資源策略研究,TITLE
,NOISE
研究生：楊承恩,AUTHOR
指導教授：張彥儒 博士,ADVISOR
中華民國111年9月,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
新公共管理視角下的政府再造工程,TITLE
陳雅雯、張雅雯,AUTHOR
中華民國運輸學會,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
行政院公共工程委員會,AFFILIATION
,NOISE
花東地區鐵路雙軌電氣,TITLE
化計畫效益分析,TITLE
研究生：楊欣怡,AUTHOR
指導教授：楊怡君 博士,ADVISOR
中華民國112年5月,NOISE
---END OF DOC---,NOISE
中華民國運輸學會,AFFILIATION
委託研究報告,NOISE
花東地區鐵路雙軌電氣化計畫效益分析,TITLE
主持人：王宗翰 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
國立台灣大學土木工程學系,AFFILIATION
委託研究報告,NOISE
都會區捷運系統營運模式之比較研究,TITLE
主持人：蔡雅婷 撰,AUTHOR
受文者：交通部,NOISE
---END OF DOC---,NOISE
運輸計劃季刊 第五十二卷 第二期,NOISE
花東地區鐵路雙軌電氣化計畫效益分析,TITLE
劉承恩、林宗翰,AUTHOR
台北大學公共行政暨政策學系,AFFILIATION
摘要,NOISE
本文旨在探討運輸政策...,NOISE
---END OF DOC---,NOISE
交通部運輸研究所,AFFILIATION
,NOISE
台鐵公司化之組織變革與,TITLE
人力資源策略研究,TITLE
,NOISE
研究生：劉承恩,AUTHOR
指導教授：吳俊宏 博士,ADVISOR
中華民國105年7月,NOISE
---END OF DOC---,NOISE
